[  314248ms] [WARNING] You are trying to animate backgroundColor from "transparent" to "#5227FF". "transparent" is not an animatable value.. For more information and steps for solving, visit https://motion.dev/troubleshooting/value-not-animatable @ http://localhost:3000/_next/static/chunks/0ly8_next_dist_1tgaskt._.js:2477
[  319463ms] [WARNING] You are trying to animate backgroundColor from "transparent" to "#5227FF". "transparent" is not an animatable value.. For more information and steps for solving, visit https://motion.dev/troubleshooting/value-not-animatable @ http://localhost:3000/_next/static/chunks/0ly8_next_dist_1tgaskt._.js:2477
[  324680ms] [WARNING] You are trying to animate backgroundColor from "transparent" to "#5227FF". "transparent" is not an animatable value.. For more information and steps for solving, visit https://motion.dev/troubleshooting/value-not-animatable @ http://localhost:3000/_next/static/chunks/0ly8_next_dist_1tgaskt._.js:2477
[  329896ms] [WARNING] You are trying to animate backgroundColor from "transparent" to "#5227FF". "transparent" is not an animatable value.. For more information and steps for solving, visit https://motion.dev/troubleshooting/value-not-animatable @ http://localhost:3000/_next/static/chunks/0ly8_next_dist_1tgaskt._.js:2477
[  335113ms] [WARNING] You are trying to animate backgroundColor from "transparent" to "#5227FF". "transparent" is not an animatable value.. For more information and steps for solving, visit https://motion.dev/troubleshooting/value-not-animatable @ http://localhost:3000/_next/static/chunks/0ly8_next_dist_1tgaskt._.js:2477
[  340330ms] [WARNING] You are trying to animate backgroundColor from "transparent" to "#5227FF". "transparent" is not an animatable value.. For more information and steps for solving, visit https://motion.dev/troubleshooting/value-not-animatable @ http://localhost:3000/_next/static/chunks/0ly8_next_dist_1tgaskt._.js:2477
[  345547ms] [WARNING] You are trying to animate backgroundColor from "#5227FF" to "transparent". "transparent" is not an animatable value.. For more information and steps for solving, visit https://motion.dev/troubleshooting/value-not-animatable @ http://localhost:3000/_next/static/chunks/0ly8_next_dist_1tgaskt._.js:2477
[  345547ms] [WARNING] You are trying to animate backgroundColor from "#5227FF" to "transparent". "transparent" is not an animatable value.. For more information and steps for solving, visit https://motion.dev/troubleshooting/value-not-animatable @ http://localhost:3000/_next/static/chunks/0ly8_next_dist_1tgaskt._.js:2477
[  345547ms] [WARNING] You are trying to animate backgroundColor from "#5227FF" to "transparent". "transparent" is not an animatable value.. For more information and steps for solving, visit https://motion.dev/troubleshooting/value-not-animatable @ http://localhost:3000/_next/static/chunks/0ly8_next_dist_1tgaskt._.js:2477
[  345548ms] [WARNING] You are trying to animate backgroundColor from "#5227FF" to "transparent". "transparent" is not an animatable value.. For more information and steps for solving, visit https://motion.dev/troubleshooting/value-not-animatable @ http://localhost:3000/_next/static/chunks/0ly8_next_dist_1tgaskt._.js:2477
[  345548ms] [WARNING] You are trying to animate backgroundColor from "#5227FF" to "transparent". "transparent" is not an animatable value.. For more information and steps for solving, visit https://motion.dev/troubleshooting/value-not-animatable @ http://localhost:3000/_next/static/chunks/0ly8_next_dist_1tgaskt._.js:2477
